Have a Nice Day10,WiFire1,CLBW-Mobitel-HUAWEI-CC008,UoM_Wireless11,No_of_P
-50,-61,-68,-100,5
-40,-62,-58,-100,5
-52,-53,-60,-100,0
-52,-52,-59,-100,0
-52,-48,-59,-81,1
-53,-52,-59,-88,0
-40,-51,-61,-100,1
-41,-52,-56,-100,1
-51,-50,-57,-100,0
-51,-40,-61,-100,1
-57,-59,-58,-100,5
-56,-51,-57,-100,0
-52,-52,-65,-91,0
-57,-41,-65,-81,1
-60,-39,-65,-100,1
-52,-51,-63,-100,0
-41,-62,-59,-100,5
-40,-53,-63,-100,1
-42,-52,-63,-100,1
-53,-56,-67,-90,1
-59,-38,-71,-80,1
-54,-51,-58,-92,0
-62,-49,-68,-80,1
-50,-59,-61,-100,5
-54,-54,-56,-77,0
-41,-60,-59,-100,5
-58,-59,-57,-100,5
-40,-58,-58,-100,5
-54,-54,-60,-100,0
-52,-50,-59,-100,0
-39,-59,-61,-100,5
-54,-54,-57,-77,0
-42,-53,-58,-88,1
-56,-59,-62,-100,5
-52,-51,-61,-81,1
-55,-54,-57,-100,0
-40,-59,-61,-100,5
-62,-38,-70,-77,1
-51,-50,-61,-100,0
-60,-40,-68,-81,1
-40,-52,-56,-100,1
-51,-62,-65,-100,5
-60,-47,-71,-100,1
-53,-51,-58,-100,0
-54,-57,-57,-100,5
-53,-51,-60,-100,0
-54,-54,-59,-78,0
-54,-54,-59,-100,0
-53,-58,-65,-100,5
-54,-52,-62,-90,0
-52,-55,-58,-100,1
-54,-54,-58,-76,0
-53,-59,-61,-100,5
-49,-59,-59,-100,5
-49,-61,-60,-100,5
-51,-59,-58,-100,5
-42,-54,-63,-100,1
-56,-59,-64,-100,5
-41,-58,-55,-100,5
-50,-58,-67,-100,5
-41,-62,-60,-100,5
-54,-54,-59,-78,0
-54,-54,-56,-79,0
-54,-55,-56,-100,0
-54,-54,-57,-100,0
-53,-52,-60,-100,0
-52,-39,-70,-100,1
-54,-53,-58,-85,0
-53,-53,-57,-100,0
-44,-52,-57,-95,0
-52,-52,-63,-100,0
-43,-44,-55,-100,0
-52,-61,-68,-100,5
-51,-53,-70,-81,1
-60,-41,-70,-100,1
-51,-53,-60,-100,1
-42,-60,-58,-100,5
-54,-53,-53,-78,0
-53,-54,-56,-78,0
-43,-53,-66,-88,0
-52,-50,-57,-100,0
-52,-50,-58,-88,0
-42,-52,-59,-100,1
-52,-54,-63,-93,0
-60,-54,-60,-100,1
-42,-61,-67,-100,5
-40,-59,-59,-100,5
-61,-37,-69,-84,1
-57,-59,-69,-100,5
-52,-63,-66,-100,5
-53,-54,-55,-77,0
-56,-61,-58,-100,5
-52,-51,-58,-100,0
-40,-59,-78,-100,5
-42,-54,-57,-100,1
-53,-53,-54,-100,0
-54,-51,-60,-87,0
-51,-39,-61,-80,1
-53,-51,-59,-100,0
-50,-59,-65,-100,5
-51,-51,-60,-100,0
-51,-51,-55,-100,0
-52,-51,-60,-100,0
-46,-56,-62,-100,1
-39,-61,-65,-100,5
-53,-50,-65,-100,0
-52,-52,-58,-91,0
-52,-53,-63,-92,0
-53,-61,-55,-100,5
-53,-54,-59,-79,0
-41,-54,-58,-100,1
-50,-59,-58,-100,5
-43,-55,-57,-94,1
-39,-58,-56,-100,5
-61,-51,-60,-100,1
-41,-59,-59,-100,5
-41,-58,-57,-100,5
-52,-52,-55,-100,0
-54,-39,-70,-100,1
-52,-53,-55,-100,0
-65,-41,-71,-81,1
-53,-52,-57,-90,0
-42,-53,-62,-100,1
-41,-60,-66,-100,5
-38,-59,-66,-100,5
-53,-54,-52,-100,0
-48,-59,-61,-100,5
-52,-52,-59,-100,0
-43,-53,-64,-90,0
-59,-49,-68,-83,1
-39,-59,-57,-100,5
-35,-62,-71,-100,5
-50,-60,-58,-100,5
-53,-55,-55,-78,0
-52,-51,-62,-100,0
-42,-54,-55,-100,1
-55,-53,-67,-100,0
-60,-47,-60,-100,1
-59,-38,-68,-100,1
-40,-61,-65,-100,5
-44,-53,-55,-100,0
-52,-54,-58,-100,1
-52,-52,-64,-100,0
-52,-61,-65,-93,5
-59,-39,-68,-80,1
-58,-62,-60,-100,5
-59,-39,-68,-80,1
-61,-39,-71,-82,1
-52,-51,-56,-100,0
-57,-41,-69,-81,1
-56,-58,-55,-100,5
-52,-39,-68,-100,1
-57,-58,-56,-100,5
-44,-53,-59,-100,0
-60,-38,-69,-100,1
-50,-59,-69,-100,5
-55,-54,-57,-100,0
-52,-53,-57,-100,0
-51,-53,-55,-100,0
-38,-59,-67,-100,5
-60,-39,-59,-100,1
-52,-52,-58,-100,0
-43,-44,-58,-100,1
-52,-54,-57,-100,0
-57,-59,-67,-100,5
-54,-54,-58,-100,0
-60,-48,-74,-81,1
-38,-60,-59,-100,5
-49,-52,-61,-100,1
-59,-41,-70,-87,1
-41,-59,-59,-100,5
-52,-59,-62,-100,5
-60,-40,-68,-80,1
-43,-51,-58,-100,0
-58,-41,-69,-83,1
-62,-40,-72,-82,1
-61,-57,-61,-100,5
-53,-54,-55,-76,0
-52,-53,-53,-84,0
-46,-53,-57,-100,1
-43,-53,-57,-100,1
-49,-58,-60,-100,5
-55,-53,-53,-100,0
-51,-53,-64,-100,0
-54,-41,-63,-100,1
-52,-54,-57,-100,0
-59,-41,-67,-82,1
-39,-62,-66,-100,5
-76,-49,-71,-81,1
-55,-61,-59,-100,5
-52,-52,-56,-100,0
-58,-60,-66,-90,5
-59,-41,-70,-100,1
-61,-41,-69,-100,1
-60,-40,-71,-100,1
-49,-58,-66,-100,5
-40,-58,-66,-100,5
-42,-62,-57,-100,5
-52,-55,-60,-100,0
-50,-50,-64,-100,0
-51,-52,-57,-100,0
-42,-59,-64,-100,5
-60,-48,-66,-100,1
-42,-53,-57,-100,1
-61,-39,-60,-91,1
-57,-59,-66,-100,5
-40,-58,-63,-100,5
-51,-54,-59,-100,1
-40,-58,-63,-100,5
-50,-61,-71,-100,5
-43,-52,-65,-100,1
-40,-61,-56,-100,5
-61,-39,-69,-81,1
-52,-53,-61,-100,1
-55,-55,-56,-78,0
-41,-51,-55,-100,0
-53,-55,-55,-79,0
-53,-53,-59,-100,0
-53,-53,-57,-78,0
-55,-53,-58,-100,0
-48,-51,-58,-90,0
-60,-49,-68,-81,1
-61,-48,-73,-81,1
-58,-61,-66,-91,5
-39,-71,-59,-100,5
-54,-53,-57,-78,0
-39,-58,-66,-100,5
-58,-57,-69,-100,5
-52,-59,-65,-100,5
-52,-54,-63,-100,1
-61,-40,-66,-100,1
-41,-58,-73,-100,5
-62,-38,-70,-100,1
-53,-54,-54,-77,0
-41,-58,-58,-93,5
-53,-53,-61,-100,0
-50,-53,-57,-88,1
-52,-52,-58,-91,0
-61,-39,-70,-79,1
-52,-40,-69,-100,1
-48,-61,-60,-94,5
-62,-49,-69,-100,1
-60,-40,-68,-86,1
-61,-59,-56,-100,5
-61,-49,-67,-100,1
-49,-60,-56,-100,5
-39,-61,-61,-100,5
-39,-61,-57,-100,5
-57,-39,-58,-81,1
-58,-48,-69,-100,1
-52,-48,-70,-100,1
-57,-60,-57,-91,5
-53,-63,-58,-100,5
-50,-71,-61,-100,1
-66,-40,-68,-82,1
-43,-53,-60,-100,1
-60,-39,-66,-100,1
-53,-51,-64,-100,0
-40,-57,-61,-94,5
-53,-51,-58,-94,0
-49,-58,-65,-100,5
-53,-60,-61,-100,5
-50,-52,-61,-100,1
-59,-59,-68,-100,5
-56,-40,-67,-100,1
-50,-58,-65,-100,5
-54,-53,-58,-78,0
-52,-59,-64,-100,5
-53,-51,-57,-91,0
-53,-54,-55,-79,0
-61,-47,-73,-81,1
-52,-52,-59,-88,0
-62,-39,-71,-81,1
-44,-51,-57,-88,0
-60,-40,-71,-100,1
-51,-61,-63,-100,5
-41,-60,-66,-100,5
-51,-53,-66,-100,0
-54,-56,-59,-78,0
-48,-52,-60,-100,0
-61,-40,-68,-100,1
-54,-52,-60,-88,0
-62,-41,-73,-79,1
-60,-40,-67,-83,1
-55,-60,-67,-100,5
-55,-53,-53,-100,0
-53,-52,-58,-87,0
-52,-52,-58,-100,0
-53,-59,-56,-100,5
-42,-53,-60,-100,1
-41,-59,-65,-100,5
-53,-61,-59,-100,5
-59,-41,-75,-82,1
-57,-48,-67,-100,1
-55,-55,-57,-78,0
-54,-39,-68,-82,1
-60,-39,-70,-83,1
-61,-40,-65,-100,1
-42,-53,-66,-100,1
-53,-55,-57,-100,0
-41,-53,-60,-93,1
-58,-46,-63,-100,1
-48,-61,-57,-100,5
-41,-62,-57,-100,5
-53,-58,-57,-100,5
-39,-57,-67,-100,5
-61,-40,-71,-100,1
-55,-55,-56,-100,0
-55,-54,-56,-90,0
-53,-42,-70,-100,1
-52,-51,-57,-100,0
-61,-39,-72,-80,1
-39,-58,-60,-100,5
-51,-51,-55,-100,0
-62,-40,-73,-82,1
-42,-53,-61,-100,1
-48,-62,-68,-100,5
-60,-40,-71,-83,1
-39,-59,-65,-100,5
-57,-61,-63,-100,5
